,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1912-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1913-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1914-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
